task_index,instruction,suite
0,put the white mug on the left plate and put the yellow and white mug on the right plate,libero_10
1,put the cream cheese in the bowl,libero_goal
2,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,libero_spatial
3,pick up the alphabet soup and place it in the basket,libero_object
4,pick up the black bowl next to the cookie box and place it on the plate,libero_spatial
5,put the wine bottle on top of the cabinet,libero_goal
6,pick up the black bowl from table center and place it on the plate,libero_spatial
7,open the middle drawer of the cabinet,libero_goal
8,pick up the milk and place it in the basket,libero_object
9,put the bowl on the plate,libero_goal
10,put both the cream cheese box and the butter in the basket,libero_10
11,pick up the black bowl next to the ramekin and place it on the plate,libero_spatial
12,pick up the ketchup and place it in the basket,libero_object
13,put the wine bottle on the rack,libero_goal
14,turn on the stove and put the moka pot on it,libero_10
15,pick up the black bowl next to the plate and place it on the plate,libero_spatial
16,pick up the butter and place it in the basket,libero_object
17,pick up the chocolate pudding and place it in the basket,libero_object
18,put both the alphabet soup and the cream cheese box in the basket,libero_10
19,put the bowl on top of the cabinet,libero_goal
20,pick up the tomato sauce and place it in the basket,libero_object
21,pick up the black bowl on the stove and place it on the plate,libero_spatial
22,pick up the orange juice and place it in the basket,libero_object
23,pick up the black bowl on the ramekin and place it on the plate,libero_spatial
24,open the top drawer and put the bowl inside,libero_goal
25,put the white mug on the plate and put the chocolate pudding to the right of the plate,libero_10
26,put the bowl on the stove,libero_goal
27,put the black bowl in the bottom drawer of the cabinet and close it,libero_10
28,put the yellow and white mug in the microwave and close it,libero_10
29,turn on the stove,libero_goal
30,pick up the cream cheese and place it in the basket,libero_object
31,pick up the bbq sauce and place it in the basket,libero_object
32,pick up the black bowl between the plate and the ramekin and place it on the plate,libero_spatial
33,put both moka pots on the stove,libero_10
34,pick up the black bowl on the cookie box and place it on the plate,libero_spatial
35,pick up the salad dressing and place it in the basket,libero_object
36,push the plate to the front of the stove,libero_goal
37,put both the alphabet soup and the tomato sauce in the basket,libero_10
38,pick up the black bowl on the wooden cabinet and place it on the plate,libero_spatial
39,pick up the book and place it in the back compartment of the caddy,libero_10
